in:climate,in:area,out:Current (TLL) MJ/m2 annum,out:RCP 2 5  (TLL) MJ/m2 annum,out:RCP 4 5 (TLL) MJ/m2 annum,out:RCP 8 5 (TLL) MJ/m2 annum,img
14,375,71.73,67.27,66.71,67.65,climate14_area375.png
15,375,23.27,26.55,27.83,28.73,climate15_area375.png
16,375,123.22,108.63,106.74,100.12,climate16_area375.png
17,375,210.49,175.58,171.27,165.09,climate17_area375.png
18,375,23.27,68.22,67.63,72.29,climate18_area375.png
19,375,64.53,50.36,50.37,54.56,climate19_area375.png
0,400,63.92,67.44,66.84,71.42,climate0_area400.png
1,400,42.89,49.73,49.72,53.8,climate1_area400.png
2,400,37.18,53.54,58.69,71.2,climate2_area400.png
3,400,24.1,32.81,31.05,37.97,climate3_area400.png
4,400,101.35,81.09,78.68,73.31,climate4_area400.png
5,400,44.26,45.84,43.23,40.74,climate5_area400.png
6,400,24.39,23.65,25.46,36.9,climate6_area400.png
